date,time,home_team,away_team,home_score,away_score,home_pens,away_pens,tournament,season,phase,group,matchday,venue,neutral,source,status
1997-02-21,,Independiente,Ferro Carril Oeste,2,2,,,Primera Division - Clausura,1997,zonas,,Fecha 1,La Doble Visera,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1997_(Argentina),
1997-02-22,,Rosario Central,Racing Club,5,0,,,Primera Division - Clausura,1997,zonas,,Fecha 1,Gigante de Arroyito,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1997_(Argentina),
1997-02-23,,Banfield,San Lorenzo,1,1,,,Primera Division - Clausura,1997,zonas,,Fecha 1,Florencio Sola,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1997_(Argentina),
1997-02-23,,Boca Juniors,Estudiantes (LP),2,1,,,Primera Division - Clausura,1997,zonas,,Fecha 1,La Bombonera,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1997_(Argentina),
1997-02-23,,Gimnasia y Esgrima (LP),River Plate,0,2,,,Primera Division - Clausura,1997,zonas,,Fecha 1,Del Bosque,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1997_(Argentina),
1997-02-23,,Huracán,Lanús,0,0,,,Primera Division - Clausura,1997,zonas,,Fecha 1,Tomás A. Ducó,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1997_(Argentina),
1997-02-23,,Platense,Gimnasia y Esgrima (J),1,1,,,Primera Division - Clausura,1997,zonas,,Fecha 1,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1997_(Argentina),
1997-02-23,,Unión,Huracán Corrientes,0,0,,,Primera Division - Clausura,1997,zonas,,Fecha 1,15 de Abril,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1997_(Argentina),
1997-02-23,,Vélez Sarsfield,Newell's Old Boys,1,1,,,Primera Division - Clausura,1997,zonas,,Fecha 1,José Amalfitani,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1997_(Argentina),
1997-02-24,,Deportivo Español,Colón,1,1,,,Primera Division - Clausura,1997,zonas,,Fecha 1,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1997_(Argentina),
1997-02-28,,River Plate,Unión,4,0,,,Primera Division - Clausura,1997,zonas,,Fecha 2,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1997_(Argentina) + https://www.rsssf.org/,
1997-03-01,,Colón,Boca Juniors,1,0,,,Primera Division - Clausura,1997,zonas,,Fecha 2,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1997_(Argentina) + https://www.rsssf.org/,
1997-03-01,,Lanús,Deportivo Español,1,2,,,Primera Division - Clausura,1997,zonas,,Fecha 2,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1997_(Argentina) + https://www.rsssf.org/,
1997-03-02,,Estudiantes (LP),Platense,1,2,,,Primera Division - Clausura,1997,zonas,,Fecha 2,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1997_(Argentina) + https://www.rsssf.org/,
1997-03-02,,Ferro Carril Oeste,Gimnasia y Esgrima (LP),0,0,,,Primera Division - Clausura,1997,zonas,,Fecha 2,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1997_(Argentina) + https://www.rsssf.org/,
1997-03-02,,Gimnasia y Esgrima (J),Rosario Central,1,1,,,Primera Division - Clausura,1997,zonas,,Fecha 2,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1997_(Argentina) + https://www.rsssf.org/,
1997-03-02,,Huracán Corrientes,Banfield,1,1,,,Primera Division - Clausura,1997,zonas,,Fecha 2,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1997_(Argentina) + https://www.rsssf.org/,
1997-03-02,,Newell's Old Boys,Independiente,2,1,,,Primera Division - Clausura,1997,zonas,,Fecha 2,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1997_(Argentina) + https://www.rsssf.org/,
1997-03-02,,Racing Club,Vélez Sarsfield,2,0,,,Primera Division - Clausura,1997,zonas,,Fecha 2,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1997_(Argentina) + https://www.rsssf.org/,
1997-03-02,,San Lorenzo,Huracán,5,1,,,Primera Division - Clausura,1997,zonas,,Fecha 2,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1997_(Argentina) + https://www.rsssf.org/,
1997-03-04,,Boca Juniors,Lanús,1,1,,,Primera Division - Clausura,1997,zonas,,Fecha 3,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1997_(Argentina) + https://www.rsssf.org/,
1997-03-04,,Deportivo Español,San Lorenzo,2,3,,,Primera Division - Clausura,1997,zonas,,Fecha 3,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1997_(Argentina) + https://www.rsssf.org/,
1997-03-04,,Huracán,Huracán Corrientes,1,1,,,Primera Division - Clausura,1997,zonas,,Fecha 3,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1997_(Argentina) + https://www.rsssf.org/,
1997-03-05,,Banfield,River Plate,0,2,,,Primera Division - Clausura,1997,zonas,,Fecha 3,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1997_(Argentina) + https://www.rsssf.org/,
1997-03-05,,Gimnasia y Esgrima (J),Racing Club,1,2,,,Primera Division - Clausura,1997,zonas,,Fecha 3,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1997_(Argentina) + https://www.rsssf.org/,
1997-03-05,,Gimnasia y Esgrima (LP),Newell's Old Boys,1,0,,,Primera Division - Clausura,1997,zonas,,Fecha 3,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1997_(Argentina) + https://www.rsssf.org/,
1997-03-05,,Independiente,Vélez Sarsfield,0,3,,,Primera Division - Clausura,1997,zonas,,Fecha 3,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1997_(Argentina) + https://www.rsssf.org/,
1997-03-05,,Rosario Central,Estudiantes (LP),1,0,,,Primera Division - Clausura,1997,zonas,,Fecha 3,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1997_(Argentina) + https://www.rsssf.org/,
1997-03-05,,Unión,Ferro Carril Oeste,2,1,,,Primera Division - Clausura,1997,zonas,,Fecha 3,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1997_(Argentina) + https://www.rsssf.org/,
1997-03-06,,Platense,Colón,2,2,,,Primera Division - Clausura,1997,zonas,,Fecha 3,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1997_(Argentina) + https://www.rsssf.org/,
1997-03-07,,Vélez Sarsfield,Gimnasia y Esgrima (LP),1,0,,,Primera Division - Clausura,1997,zonas,,Fecha 4,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1997_(Argentina) + https://www.rsssf.org/,
1997-03-08,,Newell's Old Boys,Unión,2,1,,,Primera Division - Clausura,1997,zonas,,Fecha 4,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1997_(Argentina) + https://www.rsssf.org/,
1997-03-09,,Colón,Rosario Central,2,0,,,Primera Division - Clausura,1997,zonas,,Fecha 4,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1997_(Argentina) + https://www.rsssf.org/,
1997-03-09,,Estudiantes (LP),Gimnasia y Esgrima (J),3,2,,,Primera Division - Clausura,1997,zonas,,Fecha 4,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1997_(Argentina) + https://www.rsssf.org/,
1997-03-09,,Ferro Carril Oeste,Banfield,0,1,,,Primera Division - Clausura,1997,zonas,,Fecha 4,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1997_(Argentina) + https://www.rsssf.org/,
1997-03-09,,Huracán Corrientes,Deportivo Español,2,2,,,Primera Division - Clausura,1997,zonas,,Fecha 4,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1997_(Argentina) + https://www.rsssf.org/,
1997-03-09,,Racing Club,Independiente,1,2,,,Primera Division - Clausura,1997,zonas,,Fecha 4,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1997_(Argentina) + https://www.rsssf.org/,
1997-03-09,,River Plate,Huracán,3,0,,,Primera Division - Clausura,1997,zonas,,Fecha 4,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1997_(Argentina) + https://www.rsssf.org/,
1997-03-09,,San Lorenzo,Boca Juniors,4,0,,,Primera Division - Clausura,1997,zonas,,Fecha 4,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1997_(Argentina) + https://www.rsssf.org/,
