date,time,home_team,away_team,home_score,away_score,home_pens,away_pens,tournament,season,phase,group,matchday,venue,neutral,source
2025-01-22,,Boca Juniors,Argentino (MM),5,0,,,Copa Argentina,2025,eliminacion,,Treintaidosavos,Brigadier General Estanislao López,true,https://es.wikipedia.org/wiki/Copa_Argentina_2025
2025-01-23,19:00,Godoy Cruz,Rosario Central,0,3,,,Primera Division - Apertura,2025,zonas,Zona B,Fecha 1,Víctor Antonio Legrotaglie,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Apertura_2025_(Argentina)
2025-01-23,19:00,Tigre,Vélez Sarsfield,3,0,,,Primera Division - Apertura,2025,zonas,Interzonal,Fecha 1,Monumental de Victoria,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Apertura_2025_(Argentina)
2025-01-23,21:30,Defensa y Justicia,Banfield,0,1,,,Primera Division - Apertura,2025,zonas,Zona A,Fecha 1,Norberto Tomaghello,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Apertura_2025_(Argentina)
2025-01-23,21:30,Lanús,Deportivo Riestra,0,2,,,Primera Division - Apertura,2025,zonas,Zona B,Fecha 1,Ciudad de Lanús,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Apertura_2025_(Argentina)
2025-01-23,21:30,Newell's Old Boys,Independiente Rivadavia,0,1,,,Primera Division - Apertura,2025,zonas,Zona A,Fecha 1,Marcelo Bielsa,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Apertura_2025_(Argentina)
2025-01-24,17:00,Barracas Central,Racing Club,1,3,,,Primera Division - Apertura,2025,zonas,Zona A,Fecha 1,El Viaducto,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Apertura_2025_(Argentina)
2025-01-24,19:15,Independiente,Sarmiento (J),2,1,,,Primera Division - Apertura,2025,zonas,Zona B,Fecha 1,Libertadores de América,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Apertura_2025_(Argentina)
2025-01-24,21:00,Belgrano,Huracán,1,1,,,Primera Division - Apertura,2025,zonas,Zona A,Fecha 1,Gigante de Alberdi,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Apertura_2025_(Argentina)
2025-01-24,21:30,San Martín (SJ),Atlético Tucumán,0,1,,,Primera Division - Apertura,2025,zonas,Zona B,Fecha 1,Ingeniero Hilario Sánchez,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Apertura_2025_(Argentina)
2025-01-25,17:00,San Lorenzo,Talleres (C),1,0,,,Primera Division - Apertura,2025,zonas,Zona B,Fecha 1,Nuevo Gasómetro,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Apertura_2025_(Argentina)
2025-01-25,19:15,Estudiantes (LP),Unión,3,1,,,Primera Division - Apertura,2025,zonas,Zona A,Fecha 1,Jorge Luis Hirschi,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Apertura_2025_(Argentina)
