date,time,home_team,away_team,home_score,away_score,home_pens,away_pens,tournament,season,phase,group,matchday,venue,neutral,source
2015-02-13,17:00,Berazategui,J. J. de Urquiza,1,2,,,Primera C,2015,zonas,,Fecha 1,Gildo Francisco Ghersinich,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_C_2015_(Argentina)
2015-02-13,17:00,San Miguel,Defensores de Cambaceres,2,1,,,Primera C,2015,zonas,,Fecha 1,Malvinas Argentinas,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_C_2015_(Argentina)
2015-02-13,18:00,Vélez Sarsfield,Aldosivi,2,0,,,Primera Division,2015,zonas,,Fecha 1,José Amalfitani,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_División_2015_(Argentina)
2015-02-13,19:00,Douglas Haig,Juventud Unida (G),0,1,,,Primera Nacional,2015,zonas,,Fecha 1,Miguel Morales,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_B_Nacional_2015
2015-02-13,20:30,Argentino de Merlo,Central Córdoba (R),1,1,,,Primera C,2015,zonas,,Fecha 1,Merlo,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_C_2015_(Argentina)
2015-02-13,21:05,Sportivo Belgrano,Chacarita Juniors,0,0,,,Primera Nacional,2015,zonas,,Fecha 1,Oscar C. Boero,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_B_Nacional_2015
2015-02-13,21:10,Racing Club,Rosario Central,0,1,,,Primera Division,2015,zonas,,Fecha 1,El Cilindro,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_División_2015_(Argentina)
2015-02-13,21:30,Gimnasia y Esgrima (J),Independiente Rivadavia,1,0,,,Primera Nacional,2015,zonas,,Fecha 1,23 de agosto,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_B_Nacional_2015
2015-02-13,22:00,Central Córdoba (SdE),Villa Dálmine,1,3,,,Primera Nacional,2015,zonas,,Fecha 1,Alfredo Terrera,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_B_Nacional_2015
2015-02-14,17:00,Barracas Central,Acassuso,0,1,,,Primera B,2015,zonas,,Fecha 1,Claudio Chiqui Tapia,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_B_2015_(Argentina)
2015-02-14,17:00,Defensores Unidos,Ferrocarril Midland,0,1,,,Primera C,2015,zonas,,Fecha 1,Municipal de Pilar,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_C_2015_(Argentina)
2015-02-14,17:00,Deportivo Armenio,Comunicaciones,0,1,,,Primera B,2015,zonas,,Fecha 1,Armenia,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_B_2015_(Argentina)
2015-02-14,17:00,General Lamadrid,Excursionistas,1,0,,,Primera C,2015,zonas,,Fecha 1,Enrique Sexto,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_C_2015_(Argentina)
2015-02-14,17:00,Gimnasia y Esgrima (LP),Defensa y Justicia,0,1,,,Primera Division,2015,zonas,,Fecha 1,Del Bosque,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_División_2015_(Argentina)
2015-02-14,17:00,San Lorenzo,Colón,2,0,,,Primera Division,2015,zonas,,Fecha 1,Nuevo Gasómetro,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_División_2015_(Argentina)
