date,time,home_team,away_team,home_score,away_score,home_pens,away_pens,tournament,season,phase,group,matchday,venue,neutral,source,status
2003-02-14,21:10,Racing Club,Huracán,1,0,,,Primera Division - Clausura,2003,zonas,,Fecha 1,El Cilindro,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2003_(Argentina),
2003-02-15,19:00,Colón,Estudiantes (LP),2,0,,,Primera Division - Clausura,2003,zonas,,Fecha 1,Brigadier Estanislao López,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2003_(Argentina),
2003-02-15,19:10,Olimpo,Arsenal,1,1,,,Primera Division - Clausura,2003,zonas,,Fecha 1,Roberto N. Carminatti,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2003_(Argentina),
2003-02-15,20:00,Banfield,Unión,2,2,,,Primera Division - Clausura,2003,zonas,,Fecha 1,Florencio Sola,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2003_(Argentina),
2003-02-15,21:30,San Lorenzo,Rosario Central,2,2,,,Primera Division - Clausura,2003,zonas,,Fecha 1,Nuevo Gasómetro,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2003_(Argentina),
2003-02-16,16:30,Gimnasia y Esgrima (LP),Talleres (C),1,1,,,Primera Division - Clausura,2003,zonas,,Fecha 1,Juan Carmelo Zerillo,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2003_(Argentina),
2003-02-16,16:30,Newell's Old Boys,River Plate,2,2,,,Primera Division - Clausura,2003,zonas,,Fecha 1,Coloso del Parque,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2003_(Argentina),
2003-02-16,16:30,Vélez Sarsfield,Chacarita Juniors,1,0,,,Primera Division - Clausura,2003,zonas,,Fecha 1,José Amalfitani,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2003_(Argentina),
2003-02-16,17:10,Boca Juniors,Nueva Chicago,2,0,,,Primera Division - Clausura,2003,zonas,,Fecha 1,La Bombonera,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2003_(Argentina),
2003-02-16,19:10,Lanús,Independiente,1,0,,,Primera Division - Clausura,2003,zonas,,Fecha 1,Ciudad de Lanús,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2003_(Argentina),
2003-02-21,21:10,Independiente,Gimnasia y Esgrima (LP),0,3,,,Primera Division - Clausura,2003,zonas,,Fecha 2,Ciudad de Lanús,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2003_(Argentina),
2003-02-22,19:10,Huracán,Newell's Old Boys,1,1,,,Primera Division - Clausura,2003,zonas,,Fecha 2,Tomás A. Ducó,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2003_(Argentina),
2003-02-22,19:10,Talleres (C),Olimpo,0,2,,,Primera Division - Clausura,2003,zonas,,Fecha 2,Chateau Carreras,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2003_(Argentina),
2003-02-22,20:00,Rosario Central,Lanús,1,0,,,Primera Division - Clausura,2003,zonas,,Fecha 2,Gigante de Arroyito,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2003_(Argentina),
2003-02-22,21:30,Arsenal,Racing Club,0,1,,,Primera Division - Clausura,2003,zonas,,Fecha 2,Ciudad de Lanús,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2003_(Argentina),
2003-02-23,16:30,Chacarita Juniors,Colón,0,0,,,Primera Division - Clausura,2003,zonas,,Fecha 2,Chacarita Juniors,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2003_(Argentina),
2003-02-23,16:30,Estudiantes (LP),Banfield,2,0,,,Primera Division - Clausura,2003,zonas,,Fecha 2,Jorge Luis Hirschi,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2003_(Argentina),
2003-02-23,16:30,Nueva Chicago,San Lorenzo,2,2,,,Primera Division - Clausura,2003,zonas,,Fecha 2,Nueva España,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2003_(Argentina),
2003-02-23,17:00,River Plate,Vélez Sarsfield,0,1,,,Primera Division - Clausura,2003,zonas,,Fecha 2,Monumental,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2003_(Argentina),
2003-02-23,19:10,Unión,Boca Juniors,2,0,,,Primera Division - Clausura,2003,zonas,,Fecha 2,15 de abril,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2003_(Argentina),
2003-02-28,21:10,San Lorenzo,Unión,0,2,,,Primera Division - Clausura,2003,zonas,,Fecha 3,Nuevo Gasómetro,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2003_(Argentina),
2003-03-01,19:10,Vélez Sarsfield,Huracán,2,0,,,Primera Division - Clausura,2003,zonas,,Fecha 3,José Amalfitani,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2003_(Argentina),
2003-03-01,21:30,Olimpo,Independiente,3,0,,,Primera Division - Clausura,2003,zonas,,Fecha 3,Roberto N. Carminatti,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2003_(Argentina),
2003-03-02,16:30,Chacarita Juniors,Estudiantes (LP),0,1,,,Primera Division - Clausura,2003,zonas,,Fecha 3,Chacarita Juniors,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2003_(Argentina),
2003-03-02,16:30,Gimnasia y Esgrima (LP),Rosario Central,0,4,,,Primera Division - Clausura,2003,zonas,,Fecha 3,Juan Carmelo Zerillo,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2003_(Argentina),
2003-03-02,16:30,Lanús,Nueva Chicago,1,2,,,Primera Division - Clausura,2003,zonas,,Fecha 3,Ciudad de Lanús,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2003_(Argentina),
2003-03-02,16:30,Newell's Old Boys,Arsenal,2,0,,,Primera Division - Clausura,2003,zonas,,Fecha 3,Coloso del Parque,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2003_(Argentina),
2003-03-02,16:30,Racing Club,Talleres (C),2,0,,,Primera Division - Clausura,2003,zonas,,Fecha 3,El Cilindro,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2003_(Argentina),
2003-03-02,17:10,Boca Juniors,Banfield,3,1,,,Primera Division - Clausura,2003,zonas,,Fecha 3,La Bombonera,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2003_(Argentina),
2003-03-02,19:10,Colón,River Plate,0,2,,,Primera Division - Clausura,2003,zonas,,Fecha 3,Brigadier Estanislao López,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2003_(Argentina),
2003-03-07,21:10,Huracán,Colón,2,3,,,Primera Division - Clausura,2003,zonas,,Fecha 4,Tomás A. Ducó,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2003_(Argentina),
2003-03-08,18:35,Arsenal,Vélez Sarsfield,1,0,,,Primera Division - Clausura,2003,zonas,,Fecha 4,Ciudad de Lanús,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2003_(Argentina),
2003-03-08,20:00,Rosario Central,Olimpo,2,1,,,Primera Division - Clausura,2003,zonas,,Fecha 4,Gigante de Arroyito,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2003_(Argentina),
2003-03-08,21:10,Banfield,San Lorenzo,1,1,,,Primera Division - Clausura,2003,zonas,,Fecha 4,Florencio Sola,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2003_(Argentina),
2003-03-09,15:30,Nueva Chicago,Gimnasia y Esgrima (LP),4,1,,,Primera Division - Clausura,2003,zonas,,Fecha 4,Nueva Chicago,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2003_(Argentina),
2003-03-09,16:00,Independiente,Racing Club,1,1,,,Primera Division - Clausura,2003,zonas,,Fecha 4,Ciudad de Lanús,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2003_(Argentina),
