date,time,home_team,away_team,home_score,away_score,home_pens,away_pens,tournament,season,phase,group,matchday,venue,neutral,source,status
1996-03-08,,Boca Juniors,Gimnasia y Esgrima (J),4,0,,,Primera Division - Clausura,1996,zonas,,Fecha 1,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1996_(Argentina) + https://www.rsssf.org/,
1996-03-09,,Newell's Old Boys,Huracán,1,1,,,Primera Division - Clausura,1996,zonas,,Fecha 1,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1996_(Argentina) + https://www.rsssf.org/,
1996-03-10,,Argentinos Juniors,Racing Club,1,3,,,Primera Division - Clausura,1996,zonas,,Fecha 1,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1996_(Argentina) + https://www.rsssf.org/,
1996-03-10,,Belgrano,Rosario Central,1,1,,,Primera Division - Clausura,1996,zonas,,Fecha 1,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1996_(Argentina) + https://www.rsssf.org/,
1996-03-10,,Colón,Estudiantes (LP),2,1,,,Primera Division - Clausura,1996,zonas,,Fecha 1,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1996_(Argentina) + https://www.rsssf.org/,
1996-03-10,,Gimnasia y Esgrima (LP),Deportivo Español,0,0,,,Primera Division - Clausura,1996,zonas,,Fecha 1,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1996_(Argentina) + https://www.rsssf.org/,
1996-03-10,,Independiente,Ferro Carril Oeste,0,2,,,Primera Division - Clausura,1996,zonas,,Fecha 1,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1996_(Argentina) + https://www.rsssf.org/,
1996-03-10,,San Lorenzo,River Plate,3,1,,,Primera Division - Clausura,1996,zonas,,Fecha 1,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1996_(Argentina) + https://www.rsssf.org/,
1996-03-10,,Vélez Sarsfield,Banfield,3,2,,,Primera Division - Clausura,1996,zonas,,Fecha 1,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1996_(Argentina) + https://www.rsssf.org/,
1996-03-11,,Lanús,Platense,1,0,,,Primera Division - Clausura,1996,zonas,,Fecha 1,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1996_(Argentina) + https://www.rsssf.org/,
