date,time,home_team,away_team,home_score,away_score,home_pens,away_pens,tournament,season,phase,group,matchday,venue,neutral,source
2022-02-10,19:15,Patronato,Argentinos Juniors,0,1,,,Copa de la Liga,2022,zonas,Zona A,Fecha 1,Presbítero Bartolomé Grella,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2022
2022-02-10,19:15,Sarmiento (J),Atlético Tucumán,1,0,,,Copa de la Liga,2022,zonas,Zona A,Fecha 1,Eva Perón,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2022
2022-02-10,21:30,Central Córdoba (SdE),Barracas Central,3,1,,,Copa de la Liga,2022,zonas,Zona B,Fecha 1,Único Madre de Ciudades,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2022
2022-02-10,21:30,Newell's Old Boys,Defensa y Justicia,1,0,,,Copa de la Liga,2022,zonas,Zona A,Fecha 1,Marcelo Bielsa,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2022
2022-02-11,17:00,Arsenal,Rosario Central,1,1,,,Copa de la Liga,2022,zonas,Zona B,Fecha 1,El Viaducto,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2022
2022-02-11,19:15,Godoy Cruz,Tigre,1,1,,,Copa de la Liga,2022,zonas,Zona B,Fecha 1,Malvinas Argentinas,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2022
2022-02-11,19:15,Vélez Sarsfield,Aldosivi,2,0,,,Copa de la Liga,2022,zonas,Zona B,Fecha 1,José Amalfitani,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2022
2022-02-11,21:30,Banfield,San Lorenzo,0,0,,,Copa de la Liga,2022,zonas,Zona A,Fecha 1,Florencio Sola,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2022
2022-02-12,17:00,Claypole,El Porvenir,2,0,,,Primera C,2022,zonas,Torneo Apertura,Fecha 1,Rodolfo Capocasa,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_C_2022_(Argentina)
2022-02-12,17:00,Deportivo Armenio,Ituzaingó,1,0,,,Primera B,2022,zonas,Torneo Apertura,Fecha 1,Armenia,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_B_2022_(Argentina)
2022-02-12,17:00,Deportivo Merlo,Acassuso,1,0,,,Primera B,2022,zonas,Torneo Apertura,Fecha 1,José Manuel Moreno,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_B_2022_(Argentina)
2022-02-12,17:00,Dock Sud,Los Andes,2,1,,,Primera B,2022,zonas,Torneo Apertura,Fecha 1,De los Inmigrantes,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_B_2022_(Argentina)
2022-02-12,17:00,Excursionistas,Sportivo Italiano,1,1,,,Primera C,2022,zonas,Torneo Apertura,Fecha 1,Excursionistas,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_C_2022_(Argentina)
2022-02-12,17:00,Huracán,Lanús,1,0,,,Copa de la Liga,2022,zonas,Zona B,Fecha 1,Tomás Adolfo Ducó,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2022
2022-02-12,17:00,Liniers,Central Córdoba (R),0,2,,,Primera C,2022,zonas,Torneo Apertura,Fecha 1,Juan Antonio Arias,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_C_2022_(Argentina)
2022-02-12,17:00,San Miguel,Fénix,0,2,,,Primera B,2022,zonas,Torneo Apertura,Fecha 1,Malvinas Argentina,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_B_2022_(Argentina)
2022-02-12,17:00,UAI Urquiza,Comunicaciones,0,2,,,Primera B,2022,zonas,Torneo Apertura,Fecha 1,Monumental de Villa Lynch,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_B_2022_(Argentina)
2022-02-12,17:00,Victoriano Arenas,San Martín (B),1,0,,,Primera C,2022,zonas,Torneo Apertura,Fecha 1,Saturnino Moure,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_C_2022_(Argentina)
2022-02-12,17:00,Villa San Carlos,Cañuelas,1,0,,,Primera B,2022,zonas,Torneo Apertura,Fecha 1,Genacio Sálice,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_B_2022_(Argentina)
2022-02-12,19:15,Unión,River Plate,1,0,,,Copa de la Liga,2022,zonas,Zona A,Fecha 1,15 de Abril,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2022
2022-02-12,21:30,Estudiantes (LP),Independiente,2,1,,,Copa de la Liga,2022,zonas,Zona B,Fecha 1,Jorge Luis Hirschi,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2022
2022-02-13,17:00,Atlas,Leandro N. Alem,1,1,,,Primera C,2022,zonas,Torneo Apertura,Fecha 1,Ricardo Puga,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_C_2022_(Argentina)
2022-02-13,17:00,Defensores Unidos,J. J. de Urquiza,1,1,,,Primera B,2022,zonas,Torneo Apertura,Fecha 1,Gigante de Villa Fox,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_B_2022_(Argentina)
2022-02-13,17:00,Deportivo Laferrere,General Lamadrid,0,0,,,Primera C,2022,zonas,Torneo Apertura,Fecha 1,Ciudad de Laferrere,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_C_2022_(Argentina)
2022-02-13,17:00,Luján,Real Pilar,0,1,,,Primera C,2022,zonas,Torneo Apertura,Fecha 1,Municipal de la Ciudad de Luján,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_C_2022_(Argentina)
2022-02-13,17:00,Puerto Nuevo,Berazategui,1,2,,,Primera C,2022,zonas,Torneo Apertura,Fecha 1,Rubén Carlos Vallejos,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_C_2022_(Argentina)
2022-02-13,17:00,Racing Club,Gimnasia y Esgrima (LP),0,0,,,Copa de la Liga,2022,zonas,Zona A,Fecha 1,El Cilindro,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2022
2022-02-13,19:15,Platense,Talleres (C),1,0,,,Copa de la Liga,2022,zonas,Zona A,Fecha 1,Ciudad de Vicente López,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2022
2022-02-13,19:15,Talleres (RdE),Argentino de Quilmes,2,2,,,Primera B,2022,zonas,Torneo Apertura,Fecha 1,Pablo Comelli,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_B_2022_(Argentina)
2022-02-13,20:00,Ferrocarril Midland,Deportivo Español,1,1,,,Primera C,2022,zonas,Torneo Apertura,Fecha 1,Ciudad de Libertad,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_C_2022_(Argentina)
2022-02-13,21:30,Boca Juniors,Colón,1,1,,,Copa de la Liga,2022,zonas,Zona B,Fecha 1,La Bombonera,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2022
2022-02-15,17:00,Argentinos Juniors,Newell's Old Boys,3,0,,,Copa de la Liga,2022,zonas,Zona A,Fecha 2,Diego Armando Maradona,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2022
2022-02-15,19:15,Independiente,Arsenal,1,0,,,Copa de la Liga,2022,zonas,Zona B,Fecha 2,Libertadores de América Ricardo Bochini,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2022
2022-02-15,19:15,Rosario Central,Vélez Sarsfield,1,0,,,Copa de la Liga,2022,zonas,Zona B,Fecha 2,Gigante de Arroyito,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2022
2022-02-15,21:30,Huracán,Estudiantes (LP),2,3,,,Copa de la Liga,2022,zonas,Zona B,Fecha 2,Tomás Adolfo Ducó,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2022
2022-02-15,21:30,Lanús,Barracas Central,2,0,,,Copa de la Liga,2022,zonas,Zona B,Fecha 2,Ciudad de Lanús,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2022
2022-02-16,17:00,Tigre,Central Córdoba (SdE),1,1,,,Copa de la Liga,2022,zonas,Zona B,Fecha 2,Coliseo de Victoria,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2022
2022-02-16,19:15,Aldosivi,Boca Juniors,1,2,,,Copa de la Liga,2022,zonas,Zona B,Fecha 2,José María Minella,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2022
2022-02-16,21:30,River Plate,Patronato,4,1,,,Copa de la Liga,2022,zonas,Zona A,Fecha 2,Monumental,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2022
2022-02-17,17:00,Colón,Godoy Cruz,3,1,,,Copa de la Liga,2022,zonas,Zona B,Fecha 2,Presbítero Bartolomé Grella,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2022
2022-02-17,17:00,Gimnasia y Esgrima (LP),San Lorenzo,1,0,,,Copa de la Liga,2022,zonas,Zona A,Fecha 2,Del Bosque,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2022
