date,time,home_team,away_team,home_score,away_score,home_pens,away_pens,tournament,season,phase,group,matchday,venue,neutral,source,status
1992-02-21,,River Plate,Unión,2,1,,,Primera Division - Clausura,1992,zonas,,Fecha 1,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1992_(Argentina) + https://www.rsssf.org/,
1992-02-23,,Deportivo Español,Gimnasia y Esgrima (LP),2,1,,,Primera Division - Clausura,1992,zonas,,Fecha 1,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1992_(Argentina) + https://www.rsssf.org/,
1992-02-23,,Deportivo Mandiyú,Racing Club,1,2,,,Primera Division - Clausura,1992,zonas,,Fecha 1,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1992_(Argentina) + https://www.rsssf.org/,
1992-02-23,,Estudiantes (LP),Argentinos Juniors,2,2,,,Primera Division - Clausura,1992,zonas,,Fecha 1,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1992_(Argentina) + https://www.rsssf.org/,
1992-02-23,,Ferro Carril Oeste,Belgrano,2,1,,,Primera Division - Clausura,1992,zonas,,Fecha 1,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1992_(Argentina) + https://www.rsssf.org/,
1992-02-23,,Huracán,Rosario Central,2,0,,,Primera Division - Clausura,1992,zonas,,Fecha 1,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1992_(Argentina) + https://www.rsssf.org/,
1992-02-23,,Independiente,Platense,2,1,,,Primera Division - Clausura,1992,zonas,,Fecha 1,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1992_(Argentina) + https://www.rsssf.org/,
1992-02-23,,Newell's Old Boys,Quilmes,2,0,,,Primera Division - Clausura,1992,zonas,,Fecha 1,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1992_(Argentina) + https://www.rsssf.org/,
1992-02-23,,Talleres (C),San Lorenzo,2,0,,,Primera Division - Clausura,1992,zonas,,Fecha 1,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1992_(Argentina) + https://www.rsssf.org/,
1992-02-23,,Vélez Sarsfield,Boca Juniors,1,0,,,Primera Division - Clausura,1992,zonas,,Fecha 1,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1992_(Argentina) + https://www.rsssf.org/,
1992-02-28,,Racing Club,Huracán,0,0,,,Primera Division - Clausura,1992,zonas,,Fecha 2,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1992_(Argentina) + https://www.rsssf.org/,
1992-02-29,,Unión,Newell's Old Boys,0,0,,,Primera Division - Clausura,1992,zonas,,Fecha 2,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1992_(Argentina) + https://www.rsssf.org/,
1992-03-01,,Argentinos Juniors,Talleres (C),0,1,,,Primera Division - Clausura,1992,zonas,,Fecha 2,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1992_(Argentina) + https://www.rsssf.org/,
1992-03-01,,Belgrano,Deportivo Español,0,1,,,Primera Division - Clausura,1992,zonas,,Fecha 2,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1992_(Argentina) + https://www.rsssf.org/,
1992-03-01,,Boca Juniors,San Lorenzo,2,0,,,Primera Division - Clausura,1992,zonas,,Fecha 2,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1992_(Argentina) + https://www.rsssf.org/,
1992-03-01,,Gimnasia y Esgrima (LP),Deportivo Mandiyú,3,3,,,Primera Division - Clausura,1992,zonas,,Fecha 2,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1992_(Argentina) + https://www.rsssf.org/,
1992-03-01,,Platense,Estudiantes (LP),5,1,,,Primera Division - Clausura,1992,zonas,,Fecha 2,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1992_(Argentina) + https://www.rsssf.org/,
1992-03-01,,Quilmes,Independiente,2,0,,,Primera Division - Clausura,1992,zonas,,Fecha 2,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1992_(Argentina) + https://www.rsssf.org/,
1992-03-01,,Rosario Central,River Plate,1,4,,,Primera Division - Clausura,1992,zonas,,Fecha 2,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1992_(Argentina) + https://www.rsssf.org/,
1992-03-01,,Vélez Sarsfield,Ferro Carril Oeste,1,1,,,Primera Division - Clausura,1992,zonas,,Fecha 2,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1992_(Argentina) + https://www.rsssf.org/,
1992-03-06,,Independiente,Unión,1,1,,,Primera Division - Clausura,1992,zonas,,Fecha 3,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1992_(Argentina) + https://www.rsssf.org/,
1992-03-08,,Deportivo Español,Vélez Sarsfield,1,1,,,Primera Division - Clausura,1992,zonas,,Fecha 3,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1992_(Argentina) + https://www.rsssf.org/,
1992-03-08,,Deportivo Mandiyú,Belgrano,1,0,,,Primera Division - Clausura,1992,zonas,,Fecha 3,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1992_(Argentina) + https://www.rsssf.org/,
1992-03-08,,Estudiantes (LP),Quilmes,5,1,,,Primera Division - Clausura,1992,zonas,,Fecha 3,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1992_(Argentina) + https://www.rsssf.org/,
1992-03-08,,Ferro Carril Oeste,Boca Juniors,0,1,,,Primera Division - Clausura,1992,zonas,,Fecha 3,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1992_(Argentina) + https://www.rsssf.org/,
1992-03-08,,Huracán,Gimnasia y Esgrima (LP),3,2,,,Primera Division - Clausura,1992,zonas,,Fecha 3,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1992_(Argentina) + https://www.rsssf.org/,
1992-03-08,,Newell's Old Boys,Rosario Central,1,0,,,Primera Division - Clausura,1992,zonas,,Fecha 3,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1992_(Argentina) + https://www.rsssf.org/,
1992-03-08,,River Plate,Racing Club,1,1,,,Primera Division - Clausura,1992,zonas,,Fecha 3,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1992_(Argentina) + https://www.rsssf.org/,
1992-03-08,,San Lorenzo,Argentinos Juniors,0,2,,,Primera Division - Clausura,1992,zonas,,Fecha 3,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1992_(Argentina) + https://www.rsssf.org/,
1992-03-08,,Talleres (C),Platense,0,0,,,Primera Division - Clausura,1992,zonas,,Fecha 3,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1992_(Argentina) + https://www.rsssf.org/,
1992-03-13,,Boca Juniors,Argentinos Juniors,1,0,,,Primera Division - Clausura,1992,zonas,,Fecha 4,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1992_(Argentina) + https://www.rsssf.org/,
1992-03-15,,Belgrano,Huracán,2,0,,,Primera Division - Clausura,1992,zonas,,Fecha 4,,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1992_(Argentina) + https://www.rsssf.org/,
