date,time,home_team,away_team,home_score,away_score,home_pens,away_pens,tournament,season,phase,group,matchday,venue,neutral,source,status
2021-02-12,19:15,Banfield,Racing Club,2,0,,,Copa de la Liga,2021,zonas,Zona A,Fecha 1,Florencio Sola,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2021,
2021-02-12,21:30,Central Córdoba (SdE),Colón,0,3,,,Copa de la Liga,2021,zonas,Zona A,Fecha 1,Alfredo Terrera,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2021,
2021-02-12,21:30,Unión,Atlético Tucumán,2,2,,,Copa de la Liga,2021,zonas,Zona B,Fecha 1,15 de abril,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2021,
2021-02-13,17:10,Aldosivi,Godoy Cruz,1,2,,,Copa de la Liga,2021,zonas,Zona A,Fecha 1,José María Minella,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2021,
2021-02-13,17:10,Talleres (C),Patronato,1,0,,,Copa de la Liga,2021,zonas,Zona B,Fecha 1,Mario Alberto Kempes,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2021,
2021-02-13,19:20,Vélez Sarsfield,Newell's Old Boys,1,0,,,Copa de la Liga,2021,zonas,Zona B,Fecha 1,José Amalfitani,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2021,
2021-02-13,21:30,San Lorenzo,Arsenal,2,1,,,Copa de la Liga,2021,zonas,Zona A,Fecha 1,Nuevo Gasómetro,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2021,
2021-02-14,17:10,Defensa y Justicia,Huracán,3,2,,,Copa de la Liga,2021,zonas,Zona B,Fecha 1,Norberto Tomaghello,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2021,
2021-02-14,19:20,Boca Juniors,Gimnasia y Esgrima (LP),2,2,,,Copa de la Liga,2021,zonas,Zona B,Fecha 1,La Bombonera,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2021,
2021-02-14,21:30,Estudiantes (LP),River Plate,2,1,,,Copa de la Liga,2021,zonas,Zona A,Fecha 1,Jorge Luis Hirschi,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2021,
2021-02-15,19:15,Rosario Central,Argentinos Juniors,2,1,,,Copa de la Liga,2021,zonas,Zona A,Fecha 1,Gigante de Arroyito,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2021,
2021-02-15,21:30,Independiente,Lanús,0,1,,,Copa de la Liga,2021,zonas,Zona B,Fecha 1,Libertadores de América,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2021,
2021-02-19,19:15,Gimnasia y Esgrima (LP),Talleres (C),3,0,,,Copa de la Liga,2021,zonas,Zona B,Fecha 2,Del Bosque,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2021,
2021-02-19,21:30,Arsenal,Banfield,0,2,,,Copa de la Liga,2021,zonas,Zona A,Fecha 2,El Viaducto,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2021,
2021-02-20,17:10,Godoy Cruz,Estudiantes (LP),0,2,,,Copa de la Liga,2021,zonas,Zona A,Fecha 2,Malvinas Argentinas,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2021,
2021-02-20,17:10,Lanús,Defensa y Justicia,2,1,,,Copa de la Liga,2021,zonas,Zona B,Fecha 2,Ciudad de Lanús,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2021,
2021-02-20,19:20,Racing Club,Aldosivi,2,2,,,Copa de la Liga,2021,zonas,Zona A,Fecha 2,El Cilindro,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2021,
2021-02-20,21:30,River Plate,Rosario Central,3,0,,,Copa de la Liga,2021,zonas,Zona A,Fecha 2,Monumental,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2021,
2021-02-21,17:10,Argentinos Juniors,Platense,0,1,,,Copa de la Liga,2021,zonas,Zona A,Fecha 2,Diego Armando Maradona,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2021,
2021-02-21,17:10,Sarmiento (J),Vélez Sarsfield,1,2,,,Copa de la Liga,2021,zonas,Zona B,Fecha 2,Eva Perón,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2021,
2021-02-21,19:20,Patronato,Independiente,0,1,,,Copa de la Liga,2021,zonas,Zona B,Fecha 2,Presbítero Bartolomé Grella,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2021,
2021-02-21,21:30,Newell's Old Boys,Boca Juniors,0,1,,,Copa de la Liga,2021,zonas,Zona B,Fecha 2,Coloso Marcelo Bielsa,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2021,
2021-02-22,19:15,Atlético Tucumán,Central Córdoba (SdE),1,2,,,Copa de la Liga,2021,zonas,Interzonal,Fecha 2,Monumental José Fierro,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2021,
2021-02-22,19:15,Huracán,Unión,1,1,,,Copa de la Liga,2021,zonas,Zona B,Fecha 2,Tomás A. Ducó,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2021,
2021-02-22,21:30,Colón,San Lorenzo,2,0,,,Copa de la Liga,2021,zonas,Zona A,Fecha 2,Brigadier Estanislao López,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2021,
2021-02-26,19:15,Aldosivi,Arsenal,3,0,,,Copa de la Liga,2021,zonas,Zona A,Fecha 3,José María Minella,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2021,
2021-02-26,19:15,Defensa y Justicia,Patronato,1,0,,,Copa de la Liga,2021,zonas,Zona B,Fecha 3,Norberto Tomaghello,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2021,
2021-02-26,21:30,Argentinos Juniors,Vélez Sarsfield,0,2,,,Copa de la Liga,2021,zonas,Interzonal,Fecha 3,Diego Armando Maradona,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2021,
2021-02-27,17:10,Banfield,Colón,0,3,,,Copa de la Liga,2021,zonas,Zona A,Fecha 3,Florencio Sola,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2021,
2021-02-27,17:10,Talleres (C),Newell's Old Boys,2,2,,,Copa de la Liga,2021,zonas,Zona B,Fecha 3,Mario Alberto Kempes,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2021,
2021-02-27,19:20,Independiente,Gimnasia y Esgrima (LP),1,0,,,Copa de la Liga,2021,zonas,Zona B,Fecha 3,Libertadores de América,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2021,
2021-02-27,21:30,San Lorenzo,Central Córdoba (SdE),0,4,,,Copa de la Liga,2021,zonas,Zona A,Fecha 3,Nuevo Gasómetro,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2021,
2021-02-28,17:10,Platense,River Plate,0,1,,,Copa de la Liga,2021,zonas,Zona A,Fecha 3,Ciudad de Vicente López,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2021,
2021-02-28,19:20,Estudiantes (LP),Racing Club,0,0,,,Copa de la Liga,2021,zonas,Zona A,Fecha 3,Jorge Luis Hirschi,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2021,
2021-02-28,21:30,Boca Juniors,Sarmiento (J),1,1,,,Copa de la Liga,2021,zonas,Zona B,Fecha 3,La Bombonera,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2021,
2021-03-01,19:15,Unión,Lanús,3,2,,,Copa de la Liga,2021,zonas,Zona B,Fecha 3,15 de abril,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2021,
2021-03-01,21:30,Atlético Tucumán,Huracán,1,1,,,Copa de la Liga,2021,zonas,Zona B,Fecha 3,Monumental José Fierro,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2021,
2021-03-01,21:30,Rosario Central,Godoy Cruz,2,2,,,Copa de la Liga,2021,zonas,Zona A,Fecha 3,Gigante de Arroyito,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2021,
2021-03-05,19:15,Newell's Old Boys,Independiente,1,2,,,Copa de la Liga,2021,zonas,Zona B,Fecha 4,Coloso Marcelo Bielsa,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2021,
2021-03-05,21:30,Central Córdoba (SdE),Banfield,1,1,,,Copa de la Liga,2021,zonas,Zona A,Fecha 4,Alfredo Terrera,false,https://es.wikipedia.org/wiki/Copa_de_la_Liga_Profesional_2021,
2021-03-06,17:10,Defensores Unidos,Acassuso,1,1,,,Primera B,2021,zonas,Torneo Apertura,Fecha 1,Mario Losinno,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_B_2021_(Argentina),
