date,time,home_team,away_team,home_score,away_score,home_pens,away_pens,tournament,season,phase,group,matchday,venue,neutral,source,status
1998-02-17,19:00,Platense,Unión,0,0,,,Primera Division - Clausura,1998,zonas,,Fecha 1,Ciudad de Vicente López,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1998_(Argentina),
1998-02-17,20:00,Independiente,Deportivo Español,4,1,,,Primera Division - Clausura,1998,zonas,,Fecha 1,La Doble Visera,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1998_(Argentina),
1998-02-17,20:00,River Plate,Lanús,0,4,,,Primera Division - Clausura,1998,zonas,,Fecha 1,Monumental,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1998_(Argentina),
1998-02-17,21:10,Vélez Sarsfield,Racing Club,2,0,,,Primera Division - Clausura,1998,zonas,,Fecha 1,José Amalfitani,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1998_(Argentina),
1998-02-18,19:10,Estudiantes (LP),Huracán,1,1,,,Primera Division - Clausura,1998,zonas,,Fecha 1,Jorge Luis Hirschi,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1998_(Argentina),
1998-02-18,21:00,Colón,Rosario Central,1,2,,,Primera Division - Clausura,1998,zonas,,Fecha 1,Brigadier Estanislao López,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1998_(Argentina),
1998-02-18,21:00,Gimnasia y Esgrima (J),Ferro Carril Oeste,1,4,,,Primera Division - Clausura,1998,zonas,,Fecha 1,23 de Agosto,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1998_(Argentina),
1998-02-18,21:00,Newell's Old Boys,Gimnasia y Tiro (S),1,1,,,Primera Division - Clausura,1998,zonas,,Fecha 1,Coloso del Parque,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1998_(Argentina),
1998-02-19,18:10,San Lorenzo,Gimnasia y Esgrima (LP),0,1,,,Primera Division - Clausura,1998,zonas,,Fecha 1,Nuevo Gasómetro,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1998_(Argentina),
1998-02-19,20:10,Argentinos Juniors,Boca Juniors,1,3,,,Primera Division - Clausura,1998,zonas,,Fecha 1,Arquitecto Ricardo Etcheverri,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1998_(Argentina),
1998-02-20,21:10,Rosario Central,River Plate,2,2,,,Primera Division - Clausura,1998,zonas,,Fecha 2,Gigante de Arroyito,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1998_(Argentina),
1998-02-21,20:00,Unión,Newell's Old Boys,2,3,,,Primera Division - Clausura,1998,zonas,,Fecha 2,15 de Abril,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1998_(Argentina),
1998-02-21,21:00,Gimnasia y Tiro (S),Vélez Sarsfield,1,2,,,Primera Division - Clausura,1998,zonas,,Fecha 2,Gigante del Norte,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1998_(Argentina),
1998-02-21,21:10,Huracán,Independiente,0,1,,,Primera Division - Clausura,1998,zonas,,Fecha 2,Tomás A. Ducó,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1998_(Argentina),
1998-02-22,16:30,Deportivo Español,Gimnasia y Esgrima (J),2,3,,,Primera Division - Clausura,1998,zonas,,Fecha 2,Nueva España,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1998_(Argentina),
1998-02-22,17:00,Boca Juniors,Platense,0,4,,,Primera Division - Clausura,1998,zonas,,Fecha 2,La Bombonera,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1998_(Argentina),
1998-02-22,17:00,Ferro Carril Oeste,Colón,2,2,,,Primera Division - Clausura,1998,zonas,,Fecha 2,Arquitecto Ricardo Etcheverri,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1998_(Argentina),
1998-02-22,17:00,Lanús,Argentinos Juniors,1,1,,,Primera Division - Clausura,1998,zonas,,Fecha 2,Ciudad de Lanús,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1998_(Argentina),
1998-02-22,19:10,Racing Club,San Lorenzo,2,1,,,Primera Division - Clausura,1998,zonas,,Fecha 2,El Cilindro,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1998_(Argentina),
1998-02-24,20:00,Independiente,Gimnasia y Esgrima (LP),1,1,,,Primera Division - Clausura,1998,zonas,,Fecha 3,La Doble Visera,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1998_(Argentina),
1998-02-24,20:00,Vélez Sarsfield,Unión,3,0,,,Primera Division - Clausura,1998,zonas,,Fecha 3,José Amalfitani,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1998_(Argentina),
1998-02-24,21:10,San Lorenzo,Gimnasia y Tiro (S),4,0,,,Primera Division - Clausura,1998,zonas,,Fecha 3,Nuevo Gasómetro,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1998_(Argentina),
1998-02-25,18:10,Lanús,Rosario Central,3,0,,,Primera Division - Clausura,1998,zonas,,Fecha 3,Ciudad de Lanús,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_1998_(Argentina),
