date,time,home_team,away_team,home_score,away_score,home_pens,away_pens,tournament,season,phase,group,matchday,venue,neutral,source,status
2016-01-29,20:00,Sportivo Estudiantes (SL),Juventud Unida Universitario,2,1,,,Primera Nacional,2016,zonas,,Fecha 1,Juan Gilberto Funes,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_B_Nacional_2016,
2016-01-29,21:00,Douglas Haig,Central Córdoba (SdE),2,0,,,Primera Nacional,2016,zonas,,Fecha 1,Miguel Morales,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_B_Nacional_2016,
2016-01-29,21:00,Talleres (C),Guillermo Brown,2,1,,,Primera Nacional,2016,zonas,,Fecha 1,Mario Alberto Kempes,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_B_Nacional_2016,
2016-01-30,17:00,Almagro,Nueva Chicago,0,2,,,Primera Nacional,2016,zonas,,Fecha 1,Tres de Febrero,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_B_Nacional_2016,
2016-01-30,18:55,All Boys,Chacarita Juniors,1,0,,,Primera Nacional,2016,zonas,,Fecha 1,Islas Malvinas,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_B_Nacional_2016,
2016-01-30,20:30,Ramón Santamarina,Juventud Unida (G),1,0,,,Primera Nacional,2016,zonas,,Fecha 1,Municipal General San Martín,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_B_Nacional_2016,
2016-01-30,21:00,Atlético Paraná,Ferro Carril Oeste,1,1,,,Primera Nacional,2016,zonas,,Fecha 1,Pedro Mutio,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_B_Nacional_2016,
2016-01-31,17:00,Gimnasia y Esgrima (J),Instituto,0,0,,,Primera Nacional,2016,zonas,,Fecha 1,23 de Agosto,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_B_Nacional_2016,
2016-01-31,17:00,Los Andes,Crucero del Norte,0,1,,,Primera Nacional,2016,zonas,,Fecha 1,El Viaducto,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_B_Nacional_2016,
2016-01-31,17:30,Boca Unidos,Brown de Adrogué,2,0,,,Primera Nacional,2016,zonas,,Fecha 1,Leoncio Benítez,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_B_Nacional_2016,
2016-01-31,19:15,Independiente Rivadavia,Villa Dálmine,0,0,,,Primera Nacional,2016,zonas,,Fecha 1,Bautista Gargantini,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_B_Nacional_2016,
2016-02-05,17:00,Defensores de Cambaceres,Sportivo Barracas,0,0,,,Primera C,2016,zonas,,Fecha 1,12 de Octubre,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_C_2016_(Argentina),
2016-02-05,17:00,San Miguel,Deportivo Laferrere,1,3,,,Primera C,2016,zonas,,Fecha 1,Malvinas Argentinas,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_C_2016_(Argentina),
2016-02-05,19:00,Banfield,Gimnasia y Esgrima (LP),2,0,,,Primera Division,2016,zonas,Zona 1,Fecha 1,Florencio Sola,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_División_2016_(Argentina),
2016-02-05,19:00,Huracán,Atlético de Rafaela,0,1,,,Primera Division,2016,zonas,Zona 2,Fecha 1,Tomas A. Ducó,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_División_2016_(Argentina),
2016-02-05,19:05,Platense,Talleres (RdE),0,0,,,Primera B,2016,zonas,,Fecha 1,Ciudad de Vicente López,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_B_2016_(Argentina),
2016-02-05,21:05,Instituto,Atlético Paraná,0,1,,,Primera Nacional,2016,zonas,,Fecha 2,Juan Domingo Perón,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_B_Nacional_2016,
2016-02-05,21:15,Rosario Central,Godoy Cruz,1,0,,,Primera Division,2016,zonas,Zona 1,Fecha 1,Gigante de Arroyito,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_División_2016_(Argentina),
2016-02-05,22:00,Central Córdoba (SdE),Sportivo Estudiantes (SL),1,3,,,Primera Nacional,2016,zonas,,Fecha 2,Alfredo Terrera,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_B_Nacional_2016,
2016-02-06,17:00,Aldosivi,Olimpo,3,0,,,Primera Division,2016,zonas,Interzonal,Fecha 1,José María Minella,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_División_2016_(Argentina),
2016-02-06,17:00,Argentino de Quilmes,Luján,1,0,,,Primera C,2016,zonas,,Fecha 1,Argentino de Quilmes,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_C_2016_(Argentina),
2016-02-06,17:00,Argentinos Juniors,Tigre,1,1,,,Primera Division,2016,zonas,Zona 2,Fecha 1,Diego Armando Maradona,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_División_2016_(Argentina),
2016-02-06,17:00,Chacarita Juniors,Brown de Adrogué,2,0,,,Primera Nacional,2016,zonas,,Fecha 2,Chacarita Juniors,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_B_Nacional_2016,
2016-02-06,17:00,Colegiales,Villa San Carlos,0,0,,,Primera B,2016,zonas,,Fecha 1,Colegiales,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_B_2016_(Argentina),
2016-02-06,17:00,Comunicaciones,Atlanta,2,0,,,Primera B,2016,zonas,,Fecha 1,Alfredo Ramos,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_B_2016_(Argentina),
2016-02-06,17:00,Ferro Carril Oeste,Douglas Haig,2,1,,,Primera Nacional,2016,zonas,,Fecha 2,Arquitecto Ricardo Etcheverri,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_B_Nacional_2016,
2016-02-06,17:00,Flandria,Tristán Suárez,1,0,,,Primera B,2016,zonas,,Fecha 1,Carlos V,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_B_2016_(Argentina),
2016-02-06,17:00,Nueva Chicago,Gimnasia y Esgrima (J),0,1,,,Primera Nacional,2016,zonas,,Fecha 2,Nueva Chicago,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_B_Nacional_2016,
2016-02-06,17:00,Sacachispas,San Martín (B),0,2,,,Primera C,2016,zonas,,Fecha 1,Beto Larrosa,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_C_2016_(Argentina),
2016-02-06,17:00,San Telmo,Acassuso,2,1,,,Primera B,2016,zonas,,Fecha 1,Dr. Osvaldo Baletto,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_B_2016_(Argentina),
2016-02-06,17:00,Sportivo Italiano,Cañuelas,2,2,,,Primera C,2016,zonas,,Fecha 1,República de Italia,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_C_2016_(Argentina),
2016-02-06,17:00,Villa Dálmine,Ramón Santamarina,0,1,,,Primera Nacional,2016,zonas,,Fecha 2,El Coliseo de Mitre y Puccini,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_B_Nacional_2016,
2016-02-06,18:00,Juventud Unida Universitario,Independiente Rivadavia,1,1,,,Primera Nacional,2016,zonas,,Fecha 2,Juan Gilberto Funes,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_B_Nacional_2016,
2016-02-06,19:00,Patronato,San Lorenzo,2,2,,,Primera Division,2016,zonas,Zona 1,Fecha 1,Presbítero Bartolomé Grella,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_División_2016_(Argentina),
2016-02-06,19:10,Defensores de Belgrano,Barracas Central,1,1,,,Primera B,2016,zonas,,Fecha 1,Juan Pasquale,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_B_2016_(Argentina),
2016-02-06,19:15,San Martín (SJ),Newell's Old Boys,2,1,,,Primera Division,2016,zonas,Zona 2,Fecha 1,Ingeniero Hilario Sánchez,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_División_2016_(Argentina),
2016-02-06,20:00,Central Córdoba (R),Argentino de Merlo,4,1,,,Primera C,2016,zonas,,Fecha 1,Gabino Sosa,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_C_2016_(Argentina),
