date,time,home_team,away_team,home_score,away_score,home_pens,away_pens,tournament,season,phase,group,matchday,venue,neutral,source,status
2002-02-08,21:00,Argentinos Juniors,Racing Club,2,2,,,Primera Division - Clausura,2002,zonas,,Fecha 1,Arquitecto Ricardo Etcheverri,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2002_(Argentina),
2002-02-09,19:00,Colón,Estudiantes (LP),3,0,,,Primera Division - Clausura,2002,zonas,,Fecha 1,Brigadier Estanislao López,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2002_(Argentina),
2002-02-09,21:15,San Lorenzo,Nueva Chicago,4,2,,,Primera Division - Clausura,2002,zonas,,Fecha 1,Nuevo Gasómetro,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2002_(Argentina),
2002-02-10,16:30,Chacarita Juniors,Huracán,0,2,,,Primera Division - Clausura,2002,zonas,,Fecha 1,Chacarita Juniors,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2002_(Argentina),
2002-02-10,16:30,Gimnasia y Esgrima (LP),Unión,3,2,,,Primera Division - Clausura,2002,zonas,,Fecha 1,Juan Carmelo Zerillo,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2002_(Argentina),
2002-02-10,16:30,Lanús,Rosario Central,0,0,,,Primera Division - Clausura,2002,zonas,,Fecha 1,Ciudad de Lanús,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2002_(Argentina),
2002-02-10,16:30,River Plate,Talleres (C),3,1,,,Primera Division - Clausura,2002,zonas,,Fecha 1,Monumental,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2002_(Argentina),
2002-02-10,17:10,Independiente,Vélez Sarsfield,0,3,,,Primera Division - Clausura,2002,zonas,,Fecha 1,La Doble Visera,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2002_(Argentina),
2002-02-10,17:30,Newell's Old Boys,Banfield,0,3,,,Primera Division - Clausura,2002,zonas,,Fecha 1,Coloso del Parque,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2002_(Argentina),
2002-02-10,19:30,Belgrano,Boca Juniors,2,3,,,Primera Division - Clausura,2002,zonas,,Fecha 1,Chateau Carreras,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2002_(Argentina),
2002-02-15,21:00,Vélez Sarsfield,Newell's Old Boys,2,2,,,Primera Division - Clausura,2002,zonas,,Fecha 2,José Amalfitani,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2002_(Argentina),
2002-02-16,17:00,Nueva Chicago,Colón,1,0,,,Primera Division - Clausura,2002,zonas,,Fecha 2,Nueva Chicago,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2002_(Argentina),
2002-02-16,19:00,Banfield,Belgrano,0,1,,,Primera Division - Clausura,2002,zonas,,Fecha 2,Florencio Sola,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2002_(Argentina),
2002-02-16,21:15,Unión,Chacarita Juniors,2,2,,,Primera Division - Clausura,2002,zonas,,Fecha 2,15 de abril,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2002_(Argentina),
2002-02-17,16:30,Boca Juniors,San Lorenzo,0,0,,,Primera Division - Clausura,2002,zonas,,Fecha 2,La Bombonera,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2002_(Argentina),
2002-02-17,16:30,Estudiantes (LP),Gimnasia y Esgrima (LP),3,2,,,Primera Division - Clausura,2002,zonas,,Fecha 2,Jorge Luis Hirschi,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2002_(Argentina),
2002-02-17,16:30,Rosario Central,Argentinos Juniors,2,1,,,Primera Division - Clausura,2002,zonas,,Fecha 2,Gigante de Arroyito,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2002_(Argentina),
2002-02-17,16:30,Talleres (C),Lanús,2,0,,,Primera Division - Clausura,2002,zonas,,Fecha 2,Chateau Carreras,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2002_(Argentina),
2002-02-17,17:10,Racing Club,Independiente,1,2,,,Primera Division - Clausura,2002,zonas,,Fecha 2,El Cilindro,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2002_(Argentina),
2002-02-17,19:30,Huracán,River Plate,0,4,,,Primera Division - Clausura,2002,zonas,,Fecha 2,Tomás A. Ducó,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2002_(Argentina),
2002-02-19,19:00,Lanús,Huracán,2,0,,,Primera Division - Clausura,2002,zonas,,Fecha 3,Ciudad de Lanús,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2002_(Argentina),
