date,time,home_team,away_team,home_score,away_score,home_pens,away_pens,tournament,season,phase,group,matchday,venue,neutral,source
2019-02-27,,Banfield,Juventud Unida (G),3,0,,,Copa Argentina,2019,eliminacion,,Treintaidosavos,Centenario Ciudad de Quilmes,true,https://es.wikipedia.org/wiki/Copa_Argentina_2018-19
2019-02-28,,Tigre,Estudiantes (BA),0,3,,,Copa Argentina,2019,eliminacion,,Treintaidosavos,Julio Humberto Grondona,true,https://es.wikipedia.org/wiki/Copa_Argentina_2018-19
2019-03-05,,Argentinos Juniors,Douglas Haig,4,1,,,Copa Argentina,2019,eliminacion,,Treintaidosavos,Julio Humberto Grondona,true,https://es.wikipedia.org/wiki/Copa_Argentina_2018-19
2019-03-06,,Independiente,Atlas,4,0,,,Copa Argentina,2019,eliminacion,,Treintaidosavos,Florencio Sola,true,https://es.wikipedia.org/wiki/Copa_Argentina_2018-19
2019-03-07,,Vélez Sarsfield,Real Pilar,0,1,,,Copa Argentina,2019,eliminacion,,Treintaidosavos,Alfredo Beranger,true,https://es.wikipedia.org/wiki/Copa_Argentina_2018-19
2019-03-19,,Aldosivi,Gimnasia y Esgrima (M),0,1,,,Copa Argentina,2019,eliminacion,,Treintaidosavos,Alfredo Beranger,true,https://es.wikipedia.org/wiki/Copa_Argentina_2018-19
2019-03-20,,Atlético Tucumán,Platense,1,0,,,Copa Argentina,2019,eliminacion,,Treintaidosavos,Padre Ernesto Martearena,true,https://es.wikipedia.org/wiki/Copa_Argentina_2018-19
2019-03-20,,San Martín (SJ),Villa Dálmine,1,0,,,Copa Argentina,2019,eliminacion,,Treintaidosavos,Juan Carmelo Zerillo,true,https://es.wikipedia.org/wiki/Copa_Argentina_2018-19
2019-03-21,,Lanús,Huracán Las Heras,2,0,,,Copa Argentina,2019,eliminacion,,Treintaidosavos,Malvinas Argentinas,true,https://es.wikipedia.org/wiki/Copa_Argentina_2018-19
2019-03-25,,Talleres (C),Deportivo Laferrere,5,0,,,Copa Argentina,2019,eliminacion,,Treintaidosavos,Marcelo Bielsa,true,https://es.wikipedia.org/wiki/Copa_Argentina_2018-19
2019-03-27,,Sarmiento (J),All Boys,0,2,,,Copa Argentina,2019,eliminacion,,Treintaidosavos,Julio Humberto Grondona,true,https://es.wikipedia.org/wiki/Copa_Argentina_2018-19
2019-04-03,,Nueva Chicago,Central Córdoba (SdE),1,2,,,Copa Argentina,2019,eliminacion,,Treintaidosavos,Brigadier General Estanislao López,true,https://es.wikipedia.org/wiki/Copa_Argentina_2018-19
2019-04-10,,Arsenal,Atlanta,2,0,,,Copa Argentina,2019,eliminacion,,Treintaidosavos,Alfredo Beranger,true,https://es.wikipedia.org/wiki/Copa_Argentina_2018-19
2019-04-16,,Defensa y Justicia,Gimnasia y Tiro (S),2,1,,,Copa Argentina,2019,eliminacion,,Treintaidosavos,Florencio Sola,true,https://es.wikipedia.org/wiki/Copa_Argentina_2018-19
2019-04-17,,Mitre (SdE),Deportivo Roca,2,1,,,Copa Argentina,2019,eliminacion,,Treintaidosavos,Centenario Ciudad de Quilmes,true,https://es.wikipedia.org/wiki/Copa_Argentina_2018-19
2019-04-17,,River Plate,Argentino de Merlo,3,0,,,Copa Argentina,2019,eliminacion,,Treintaidosavos,Padre Ernesto Martearena,true,https://es.wikipedia.org/wiki/Copa_Argentina_2018-19
2019-04-19,,Boca Juniors,Estudiantes (RC),2,0,,,Copa Argentina,2019,eliminacion,,Treintaidosavos,José María Minella,true,https://es.wikipedia.org/wiki/Copa_Argentina_2018-19
2019-04-23,,Independiente Rivadavia,Ferrocarril Midland,1,0,,,Copa Argentina,2019,eliminacion,,Treintaidosavos,Juan Gilberto Funes,true,https://es.wikipedia.org/wiki/Copa_Argentina_2018-19
2019-04-24,,Colón,Acassuso,3,0,,,Copa Argentina,2019,eliminacion,,Treintaidosavos,Alfredo Beranger,true,https://es.wikipedia.org/wiki/Copa_Argentina_2018-19
2019-04-25,,Unión,Barracas Central,0,1,,,Copa Argentina,2019,eliminacion,,Treintaidosavos,Julio Humberto Grondona,true,https://es.wikipedia.org/wiki/Copa_Argentina_2018-19
2019-05-08,,Belgrano,Deportivo Riestra,3,0,,,Copa Argentina,2019,eliminacion,,Treintaidosavos,Julio Humberto Grondona,true,https://es.wikipedia.org/wiki/Copa_Argentina_2018-19
2019-05-15,,Huracán,Unión (S),2,0,,,Copa Argentina,2019,eliminacion,,Treintaidosavos,Brigadier General Estanislao López,true,https://es.wikipedia.org/wiki/Copa_Argentina_2018-19
2019-05-22,,Estudiantes (LP),Sarmiento (R),5,1,,,Copa Argentina,2019,eliminacion,,Treintaidosavos,Alfredo Beranger,true,https://es.wikipedia.org/wiki/Copa_Argentina_2018-19
2019-05-22,,San Lorenzo,Sportivo Estudiantes (SL),0,2,,,Copa Argentina,2019,eliminacion,,Treintaidosavos,15 de abril,true,https://es.wikipedia.org/wiki/Copa_Argentina_2018-19
2019-07-20,,Mitre (SdE),Estudiantes (LP),0,2,,,Copa Argentina,2019,eliminacion,,Dieciseisavos,Coloso del Ruca Quimey,true,https://es.wikipedia.org/wiki/Copa_Argentina_2018-19
