date,time,home_team,away_team,home_score,away_score,home_pens,away_pens,tournament,season,phase,group,matchday,venue,neutral,source,status
2026-01-18,,Independiente Rivadavia,Estudiantes (BA),2,0,,,Copa Argentina,2026,eliminacion,,Treintaidosavos,Único La Pedrera,true,https://es.wikipedia.org/wiki/Copa_Argentina_2026,
2026-01-18,,Lanús,Sarmiento (LB),4,1,,,Copa Argentina,2026,eliminacion,,Treintaidosavos,Ciudad de Caseros,true,https://es.wikipedia.org/wiki/Copa_Argentina_2026,
2026-01-19,,Estudiantes (LP),Ituzaingó,4,0,,,Copa Argentina,2026,eliminacion,,Treintaidosavos,Florencio Sola,true,https://es.wikipedia.org/wiki/Copa_Argentina_2026,
2026-01-21,,Argentinos Juniors,Ferrocarril Midland,1,1,5,6,Copa Argentina,2026,eliminacion,,Treintaidosavos,Ciudad de Lanús,true,https://es.wikipedia.org/wiki/Copa_Argentina_2026,
2026-01-22,17:00,Aldosivi,Defensa y Justicia,0,0,,,Primera Division - Apertura,2026,zonas,Interzonal,Fecha 1,José María Minella,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Apertura_2026_(Argentina),
2026-01-22,20:00,Banfield,Huracán,1,1,,,Primera Division - Apertura,2026,zonas,Zona B,Fecha 1,Florencio Sola,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Apertura_2026_(Argentina),
2026-01-22,20:00,Unión,Platense,0,0,,,Primera Division - Apertura,2026,zonas,Zona A,Fecha 1,15 de Abril,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Apertura_2026_(Argentina),
2026-01-22,22:15,Central Córdoba (SdE),Gimnasia y Esgrima (M),0,1,,,Primera Division - Apertura,2026,zonas,Zona A,Fecha 1,Único Madre de Ciudades,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Apertura_2026_(Argentina),
2026-01-22,22:15,Instituto,Vélez Sarsfield,0,1,,,Primera Division - Apertura,2026,zonas,Zona A,Fecha 1,Monumental Presidente Perón,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Apertura_2026_(Argentina),
2026-01-23,19:00,San Lorenzo,Lanús,2,3,,,Primera Division - Apertura,2026,zonas,Zona A,Fecha 1,Nuevo Gasómetro,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Apertura_2026_(Argentina),
2026-01-23,20:00,Independiente,Estudiantes (LP),1,1,,,Primera Division - Apertura,2026,zonas,Zona A,Fecha 1,Libertadores de América,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Apertura_2026_(Argentina),
2026-01-23,22:15,Independiente Rivadavia,Atlético Tucumán,2,1,,,Primera Division - Apertura,2026,zonas,Zona B,Fecha 1,Bautista Gargantini,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Apertura_2026_(Argentina),
2026-01-23,22:15,Talleres (C),Newell's Old Boys,2,1,,,Primera Division - Apertura,2026,zonas,Zona A,Fecha 1,Mario Alberto Kempes,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Apertura_2026_(Argentina),
2026-01-24,17:00,Barracas Central,River Plate,0,1,,,Primera Division - Apertura,2026,zonas,Zona B,Fecha 1,Claudio Chiqui Tapia,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Apertura_2026_(Argentina),
2026-01-24,19:30,Gimnasia y Esgrima (LP),Racing Club,2,1,,,Primera Division - Apertura,2026,zonas,Zona B,Fecha 1,Del Bosque,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Apertura_2026_(Argentina),
2026-01-24,22:00,Rosario Central,Belgrano,1,2,,,Primera Division - Apertura,2026,zonas,Zona B,Fecha 1,Gigante de Arroyito,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Apertura_2026_(Argentina),
2026-01-25,18:30,Boca Juniors,Deportivo Riestra,1,0,,,Primera Division - Apertura,2026,zonas,Zona A,Fecha 1,La Bombonera,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Apertura_2026_(Argentina),
2026-01-25,21:00,Argentinos Juniors,Sarmiento (J),1,0,,,Primera Division - Apertura,2026,zonas,Zona B,Fecha 1,Diego Armando Maradona,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Apertura_2026_(Argentina),
2026-01-25,21:00,Tigre,Estudiantes (RC),2,0,,,Primera Division - Apertura,2026,zonas,Zona B,Fecha 1,Monumental de Victoria,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Apertura_2026_(Argentina),
2026-01-26,17:00,Platense,Instituto,2,1,,,Primera Division - Apertura,2026,zonas,Zona A,Fecha 2,Ciudad de Vicente López,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Apertura_2026_(Argentina),
2026-01-27,17:45,Vélez Sarsfield,Talleres (C),2,1,,,Primera Division - Apertura,2026,zonas,Zona A,Fecha 2,José Amalfitani,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Apertura_2026_(Argentina),
