date,time,home_team,away_team,home_score,away_score,home_pens,away_pens,tournament,season,phase,group,matchday,venue,neutral,source
2023-01-24,,Patronato,Gimnasia y Tiro (S),2,0,,,Copa Argentina,2023,eliminacion,,Treintaidosavos,Brigadier General Estanislao López,true,https://es.wikipedia.org/wiki/Copa_Argentina_2023
2023-01-27,17:00,Deportivo Español,Yupanqui,3,0,,,Primera C,2023,zonas,,Fecha 1,Nueva España,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_C_2023_(Argentina)
2023-01-27,19:15,Rosario Central,Argentinos Juniors,1,0,,,Primera Division,2023,zonas,,Fecha 1,Gigante de Arroyito,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_División_2023_(Argentina)
2023-01-27,20:00,Real Pilar,Deportivo Laferrere,0,1,,,Primera C,2023,zonas,,Fecha 1,Carlos Barraza,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_C_2023_(Argentina)
2023-01-27,20:00,Sportivo Italiano,Atlas,0,0,,,Primera C,2023,zonas,,Fecha 1,República de Italia,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_C_2023_(Argentina)
2023-01-27,21:30,Defensa y Justicia,Huracán,2,4,,,Primera Division,2023,zonas,,Fecha 1,Norberto Tomaghello,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_División_2023_(Argentina)
2023-01-28,17:00,Berazategui,Leandro N. Alem,0,1,,,Primera C,2023,zonas,,Fecha 1,Norman Lee,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_C_2023_(Argentina)
2023-01-28,17:00,J. J. de Urquiza,General Lamadrid,2,0,,,Primera C,2023,zonas,,Fecha 1,Ramón Roque Martín,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_C_2023_(Argentina)
2023-01-28,17:00,Liniers,Excursionistas,2,1,,,Primera C,2023,zonas,,Fecha 1,Juan Antonio Arias,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_C_2023_(Argentina)
2023-01-28,17:00,San Lorenzo,Arsenal,1,0,,,Primera Division,2023,zonas,,Fecha 1,Nuevo Gasómetro,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_División_2023_(Argentina)
2023-01-28,19:15,Estudiantes (LP),Tigre,1,2,,,Primera Division,2023,zonas,,Fecha 1,UNO,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_División_2023_(Argentina)
2023-01-28,19:15,Talleres (C),Independiente,0,1,,,Primera Division,2023,zonas,,Fecha 1,Mario Alberto Kempes,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_División_2023_(Argentina)
