date,time,home_team,away_team,home_score,away_score,home_pens,away_pens,tournament,season,phase,group,matchday,venue,neutral,source,status
,,Los Andes,Nueva Chicago,1,0,,,Primera Nacional,2007,eliminacion,,Promoción B Nacional - Primera B,,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_B_Nacional_2007-08,
,,Nueva Chicago,Los Andes,0,2,,,Primera Nacional,2007,eliminacion,,Promoción B Nacional - Primera B,,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_B_Nacional_2007-08,
,,Racing (C),Talleres (C),1,2,,,Primera Nacional,2007,eliminacion,,Promoción B Nacional - Argentino A,,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_B_Nacional_2007-08,
,,Talleres (C),Racing (C),1,1,,,Primera Nacional,2007,eliminacion,,Promoción B Nacional - Argentino A,,false,https://es.wikipedia.org/wiki/Campeonato_de_Primera_B_Nacional_2007-08,
