date,time,home_team,away_team,home_score,away_score,home_pens,away_pens,tournament,season,phase,group,matchday,venue,neutral,source,status
,,Alvarado,Defensores de Belgrano (VR),4,0,,,Torneo Argentino A,2012,eliminacion,,Reválida - Segunda ronda - 28 de abril al 9 de mayo,,false,https://es.wikipedia.org/wiki/Torneo_Argentino_A_2012-13,
,,Alvarado,Rivadavia (L),1,1,,,Torneo Argentino A,2012,eliminacion,,Reválida - Tercera ronda - 13 de mayo al 18 de mayo,,false,https://es.wikipedia.org/wiki/Torneo_Argentino_A_2012-13,
,,Central Córdoba (SdE),Libertad (S),2,2,,,Torneo Argentino A,2012,eliminacion,,Reválida - Segunda ronda - 28 de abril al 9 de mayo,,false,https://es.wikipedia.org/wiki/Torneo_Argentino_A_2012-13,
,,Defensores de Belgrano (VR),Alvarado,1,0,,,Torneo Argentino A,2012,eliminacion,,Reválida - Segunda ronda - 28 de abril al 9 de mayo,,false,https://es.wikipedia.org/wiki/Torneo_Argentino_A_2012-13,
,,Deportivo Maipú,Gimnasia y Tiro (S),2,0,,,Torneo Argentino A,2012,eliminacion,,Cuarta fase - 2 y 9 de junio,,false,https://es.wikipedia.org/wiki/Torneo_Argentino_A_2012-13,
,,Gimnasia y Esgrima (CdU),Racing (O),1,1,,,Torneo Argentino A,2012,eliminacion,,"Tercera fase - 22, 26 y 27 de mayo",,false,https://es.wikipedia.org/wiki/Torneo_Argentino_A_2012-13,
,,Gimnasia y Tiro (S),Deportivo Maipú,3,1,,,Torneo Argentino A,2012,eliminacion,,Cuarta fase - 2 y 9 de junio,,false,https://es.wikipedia.org/wiki/Torneo_Argentino_A_2012-13,
,,Gimnasia y Tiro (S),Rivadavia (L),3,1,,,Torneo Argentino A,2012,eliminacion,,"Tercera fase - 22, 26 y 27 de mayo",,false,https://es.wikipedia.org/wiki/Torneo_Argentino_A_2012-13,
,,Guaraní Antonio Franco,Libertad (S),2,0,,,Torneo Argentino A,2012,eliminacion,,Reválida - Tercera ronda - 13 de mayo al 18 de mayo,,false,https://es.wikipedia.org/wiki/Torneo_Argentino_A_2012-13,
,,Guaraní Antonio Franco,Tiro Federal,4,0,,,Torneo Argentino A,2012,eliminacion,,Reválida - Segunda ronda - 28 de abril al 9 de mayo,,false,https://es.wikipedia.org/wiki/Torneo_Argentino_A_2012-13,
,,Juventud Antoniana,Juventud Unida Universitario,2,0,,,Torneo Argentino A,2012,eliminacion,,"Tercera fase - 22, 26 y 27 de mayo",,false,https://es.wikipedia.org/wiki/Torneo_Argentino_A_2012-13,
,,Juventud Antoniana,Sportivo Belgrano,1,1,,,Torneo Argentino A,2012,eliminacion,,Cuarta fase - 2 y 9 de junio,,false,https://es.wikipedia.org/wiki/Torneo_Argentino_A_2012-13,
,,Juventud Unida Universitario,Juventud Antoniana,1,0,,,Torneo Argentino A,2012,eliminacion,,"Tercera fase - 22, 26 y 27 de mayo",,false,https://es.wikipedia.org/wiki/Torneo_Argentino_A_2012-13,
,,Libertad (S),Central Córdoba (SdE),2,1,,,Torneo Argentino A,2012,eliminacion,,Reválida - Segunda ronda - 28 de abril al 9 de mayo,,false,https://es.wikipedia.org/wiki/Torneo_Argentino_A_2012-13,
