date,time,home_team,away_team,home_score,away_score,home_pens,away_pens,tournament,season,phase,group,matchday,venue,neutral,source
,,Desamparados,Cipolletti,3,1,,,Torneo Argentino A,2005,zonas,Primera fase,Fecha 6,,false,https://es.wikipedia.org/wiki/Torneo_Argentino_A_2005-06
,,Douglas Haig,Cipolletti,5,3,,,Torneo Argentino A,2005,zonas,Primera fase,Fecha 5,,false,https://es.wikipedia.org/wiki/Torneo_Argentino_A_2005-06
,,Guillermo Brown,Cipolletti,3,0,,,Torneo Argentino A,2005,zonas,Primera fase,Fecha 4,,false,https://es.wikipedia.org/wiki/Torneo_Argentino_A_2005-06
,,Guillermo Brown,Independiente Rivadavia,1,0,,,Torneo Argentino A,2005,zonas,Primera fase,Fecha 5,,false,https://es.wikipedia.org/wiki/Torneo_Argentino_A_2005-06
,,Independiente Rivadavia,Douglas Haig,1,1,,,Torneo Argentino A,2005,zonas,Primera fase,Fecha 6,,false,https://es.wikipedia.org/wiki/Torneo_Argentino_A_2005-06
,,Juventud (P),La Plata FC,1,2,,,Torneo Argentino A,2005,zonas,Primera fase,Fecha 6,,false,https://es.wikipedia.org/wiki/Torneo_Argentino_A_2005-06
,,Juventud Unida Universitario,Desamparados,2,2,,,Torneo Argentino A,2005,zonas,Primera fase,Fecha 5,,false,https://es.wikipedia.org/wiki/Torneo_Argentino_A_2005-06
,,Juventud Unida Universitario,Luján de Cuyo,2,1,,,Torneo Argentino A,2005,zonas,Primera fase,Fecha 6,,false,https://es.wikipedia.org/wiki/Torneo_Argentino_A_2005-06
,,La Florida,Sportivo Patria,2,2,,,Torneo Argentino A,2005,zonas,Primera fase,Fecha 10,,false,https://es.wikipedia.org/wiki/Torneo_Argentino_A_2005-06
,,La Plata FC,Villa Mitre,1,1,,,Torneo Argentino A,2005,zonas,Primera fase,Fecha 5,,false,https://es.wikipedia.org/wiki/Torneo_Argentino_A_2005-06
,,Luján de Cuyo,Juventud (P),1,1,,,Torneo Argentino A,2005,zonas,Primera fase,Fecha 5,,false,https://es.wikipedia.org/wiki/Torneo_Argentino_A_2005-06
,,Racing (O),Guillermo Brown,0,1,,,Torneo Argentino A,2005,zonas,Primera fase,Fecha 6,,false,https://es.wikipedia.org/wiki/Torneo_Argentino_A_2005-06
,,Racing (O),Huracán (CR),0,0,,,Torneo Argentino A,2005,zonas,Primera fase,Fecha 5,,false,https://es.wikipedia.org/wiki/Torneo_Argentino_A_2005-06
,,Unión (S),La Florida,2,0,,,Torneo Argentino A,2005,zonas,Primera fase,Fecha 1,,false,https://es.wikipedia.org/wiki/Torneo_Argentino_A_2005-06
,,Unión (S),Talleres (P),2,0,,,Torneo Argentino A,2005,zonas,Primera fase,Fecha 5,,false,https://es.wikipedia.org/wiki/Torneo_Argentino_A_2005-06
